title,author,genres,synopsis,publisher,year,isbn,cover,url
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,"['Psychology', 'Nonfiction', 'Self Help', 'Spirituality', 'Philosophy', 'Personal Development', 'Religion']","By melding love, science, and religion into a primer on personal growth, M. Scott Peck launched his highly successful writing and lecturing career with this book. Even to this day, Peck remains at the forefront of spiritual psychology as a result of The Road Less Traveled. In the era of I'm OK, You're OK, Peck was courageous enough to suggest that ""life is difficult"" and personal growth is a ""complex, arduous and lifelong task."" His willingness to expose his own life stories as well as to share the intimate stories of his anonymous therapy clients creates a compelling and heartfelt narrative.",Simon & Schuster,1978,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1322673263i/347852.jpg,https://www.goodreads.com/book/show/347852.The_Road_Less_Traveled
Harry Potter and the Deathly Hallows,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']","Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him...",Arthur A. Levine Books,2007,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251.jpg,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Holy Bible: King James Version,Anonymous,"['Religion', 'Nonfiction', 'Christian', 'Philosophy', 'Christianity', 'History', 'Reference']",An Award or Presentation Bible in the King James Version: ideal as a gift or to keep,Ebook,2008,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1631816305i/1923820.jpg,https://www.goodreads.com/book/show/1923820.The_Holy_Bible
Ready Player One,Ernest Cline,"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Dystopia', 'Audiobook', 'Adventure']",Librarian's note: An alternate cover edition can be found here,Crown Publishers,2011,9780307887436,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571.jpg,https://www.goodreads.com/book/show/9969571-ready-player-one
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"['Nonfiction', 'History', 'True Crime', 'Crime', 'Audiobook', 'Mystery', 'Historical']","In the 1920s, the richest people per capita in the world were members of the Osage Nation in Oklahoma. After oil was discovered beneath their land, the Osage rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.",Vintage,2023,9780593470831,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1696884539i/193388249.jpg,https://www.goodreads.com/book/show/193388249-killers-of-the-flower-moon
Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,Stephen E. Ambrose,"['History', 'Nonfiction', 'Biography', 'American History', 'Adventure', 'Historical', 'Travel']","'This was much more than a bunch of guys out on an exploring and collecting expedition. This was a military expedition into hostile territory'. In 1803 President Thomas Jefferson selected his personal secretary, Captain Meriwether Lewis, to lead a pioneering voyage across the Great Plains and into the Rockies. It was completely uncharted territory; a wild, vast land ruled by the Indians. Charismatic and brave, Lewis was the perfect choice and he experienced the savage North American continent before any other white man. UNDAUNTED COURAGE is the tale of a hero, but it is also a tragedy. Lewis may have received a hero's welcome on his return to Washington in 1806, but his discoveries did not match the president's fantasies of sweeping, fertile plains ripe for the taking. Feeling the expedition had been a failure, Lewis took to drink and piled up debts. Full of colourful characters - Jefferson, the president obsessed with conquering the west; William Clark, the rugged frontiersman; Sacagawea, the Indian girl who accompanied the expedition; Drouillard, the French-Indian hunter - this is one of the great adventure stories of all time and it shot to the top of the US bestseller charts. Drama, suspense, danger and diplomacy combine with romance and personal tragedy making UNDAUNTED COURAGE an outstanding work of scholarship and a thrilling adventure.",Simon & Schuster,2003,9780743477888,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408925996i/45546.jpg,https://www.goodreads.com/book/show/45546.Undaunted_Courage
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Leadership', 'Parenting']","Researcher and thought leader Dr. Brené Brown offers a powerful new vision that encourages us to dare greatly: to embrace vulnerability and imperfection, to live wholeheartedly, and to courageously engage in our lives.",Avery,2012,9781592407330,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1337110319i/13588356.jpg,https://www.goodreads.com/book/show/13588356-daring-greatly
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"['Business', 'Biography', 'Nonfiction', 'Memoir', 'Sports', 'Audiobook', 'Autobiography']","In this candid and riveting memoir, for the first time ever, Nike founder and CEO Phil Knight shares the inside story of the company’s early days as an intrepid start-up and its evolution into one of the world’s most iconic, game-changing, and profitable brands.",Scribner,2016,9781501135910,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1457284880i/27220736.jpg,https://www.goodreads.com/book/show/27220736-shoe-dog
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,"['History', 'Nonfiction', 'Science', 'Biography', 'Historical', 'Geography', 'History Of Science']","""Longitude"" is the dramatic human story of an epic scientific quest. The ""longitude problem"" was the thorniest dilemma of the eighteenth century. Lacking the ability to measure longitude, sailors throughout the great ages of exploration had been literally lost at sea.",Walker Books,2005,9780802714626,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388462711i/4806.jpg,https://www.goodreads.com/book/show/4806.Longitude
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,"['Nonfiction', 'History', 'Audiobook', 'Historical', 'War', 'World War I', 'American History']",From the #1 New York Times bestselling author and master of narrative nonfiction comes the enthralling story of the sinking of the Lusitania,Crown Publishers,2015,9780307408860,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408923747i/22551730.jpg,https://www.goodreads.com/book/show/22551730-dead-wake
American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"['Biography', 'History', 'Nonfiction', 'Science', 'Politics', 'Biography Memoir', 'Audiobook']","American Prometheus is the first full-scale biography of J. Robert Oppenheimer, ""father of the atomic bomb,"" the brilliant, charismatic physicist who led the effort to capture the awesome fire of the sun for his country in time of war. Immediately after Hiroshima, he became the most famous scientist of his generation-one of the iconic figures of the twentieth century, the embodiment of modern man confronting the consequences of scientific progress.",Vintage Books,2007,,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1686079247i/80571.jpg,https://www.goodreads.com/book/show/80571.American_Prometheus
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,"['Psychology', 'Science', 'Nonfiction', 'Philosophy', 'Sociology', 'Biology', 'Politics']","In The Blank Slate, Steven Pinker explores the idea of human nature and its moral, emotional, and political colorings. He shows how many intellectuals have denied the existence of human nature by embracing three linked dogmas: the Blank Slate (the mind has no innate traits), the Noble Savage (people are born good and corrupted by society), and the Ghost in the Machine (each of us has a soul that makes choices free from biology). Each dogma carries a moral burden, so their defenders have engaged in desperate tactics to discredit the scientists who are now challenging them.",Penguin Books,2003,9780142003343,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386925462i/5752.jpg,https://www.goodreads.com/book/show/5752.The_Blank_Slate
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"['Fiction', 'Romance', 'Historical Fiction', 'LGBT', 'Contemporary', 'Audiobook', 'Queer']","Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?",Atria Books,2017,9781501139239,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664458703i/32620332.jpg,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
"The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World",Steven Johnson,"['History', 'Nonfiction', 'Science', 'Medicine', 'Medical', 'Historical', 'Health']","From Steven Johnson, the dynamic thinker routinely compared to James Gleick, Dava Sobel, and Malcolm Gladwell, The Ghost Map is a riveting page-turner about a real-life historical hero, Dr. John Snow. It's the summer of 1854, and London is just emerging as one of the first modern cities in the world. But lacking the infrastructure—garbage removal, clean water, sewers—necessary to support its rapidly expanding population, the city has become the perfect breeding ground for a terrifying disease no one knows how to cure. As the cholera outbreak takes hold, a physician and a local curate are spurred to action—and ultimately solve the most pressing medical riddle of their time. In a triumph of multidisciplinary thinking, Johnson illuminates the intertwined histories and inter-connectedness of the spread of disease, contagion theory, the rise of cities, and the nature of scientific inquiry, offering both a riveting history and a powerful explanation of how it has shaped the world we live in.",Riverhead Hardcover,2006,9781594489259,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1430524696i/36086.jpg,https://www.goodreads.com/book/show/36086.The_Ghost_Map
Grit: The Power of Passion and Perseverance,Angela Duckworth,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Audiobook', 'Leadership']","In this must-read book for anyone striving to succeed, pioneering psychologist Angela Duckworth shows parents, educators, students, and business people both seasoned and new that the secret to outstanding achievement is not talent but a focused persistence called grit.",Collins,2016,9781443442312,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1632024090i/27213329.jpg,https://www.goodreads.com/book/show/27213329-grit
"The Long Way to a Small, Angry Planet",Becky Chambers,"['Science Fiction', 'Fiction', 'LGBT', 'Space Opera', 'Queer', 'Fantasy', 'Adult']",Follow a motley crew on an exciting journey through space-and one adventurous young explorer who discovers the meaning of family in the far reaches of the universe-in this light-hearted debut space opera from a rising sci-fi star.,CreateSpace Independent Publishing Platform,2014,9781500453305,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405532474i/22733729.jpg,https://www.goodreads.com/book/show/22733729-the-long-way-to-a-small-angry-planet
The Highly Sensitive Person: How to Thrive When the World Overwhelms You,Elaine N. Aron,"['Nonfiction', 'Psychology', 'Self Help', 'Mental Health', 'Personal Development', 'Health', 'Science']","Do you have a keen imagination and vivid dreams? Is time alone each day as essential to you as food and water? Are you ""too shy"" or ""too sensitive"" according to others? Do noise and confusion quickly overwhelm you? If your answers are yes, you may be a Highly Sensitive Person (HSP).",Harmony,1997,9780553062182,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320525063i/923950.jpg,https://www.goodreads.com/book/show/923950.The_Highly_Sensitive_Person
